Failed to mount package.gunz.hdr!
Failed to mount rsx.gunz.hdr!
Failed to mount rsx2.gunz.hdr!
Failed to open file sound/effect/challenge_quest/researchlab/lab_chaser_run.wav.
Failed to open file sound/effect/challenge_quest/researchlab/lab_chaser_runfast.wav.
Failed to open file sound/effect/challenge_quest/researchlab/lab_chaser_dash.wav.
Failed to open file sound/effect/challenge_quest/researchlab/lab_chaser_suffer1.wav.
Failed to open file sound/effect/challenge_quest/researchlab/lab_chaser_suffer2.wav.
Failed to open file sound/effect/challenge_quest/researchlab/lab_chaser_suffer3.wav.
Failed to open file sound/effect/challenge_quest/researchlab/lab_chaser_die.wav.
Failed to open file sound/effect/challenge_quest/researchlab/lab_tower_arrive.wav.
Failed to open file sound/effect/challenge_quest/researchlab/lab_tower_suffer.wav.
Failed to open file sound/effect/challenge_quest/researchlab/lab_tower_summon.wav.
Failed to open file sound/effect/challenge_quest/researchlab/lab_tower_shot.wav.
Failed to open file sound/effect/challenge_quest/researchlab/lab_tower_die.wav.
Failed to open file sound/effect/challenge_quest/researchlab/lab_tower_idle.wav.
Failed to open file sound/effect/challenge_quest/researchlab/lab_assasin_arrive.wav.
Failed to open file sound/effect/challenge_quest/researchlab/lab_assasin_spinslash.wav.
Failed to open file sound/effect/challenge_quest/researchlab/lab_assasin_dash_a.wav.
Failed to open file sound/effect/challenge_quest/researchlab/lab_assasin_dash_b.wav.
Failed to open file sound/effect/challenge_quest/researchlab/lab_assasin_strafe.wav.
Failed to open file sound/effect/challenge_quest/researchlab/lab_assasin_pierce.wav.
Failed to open file sound/effect/challenge_quest/researchlab/lab_assasin_summon.wav.
Failed to open file sound/effect/challenge_quest/researchlab/lab_assasin_suffer3.wav.
Failed to open file sound/effect/challenge_quest/researchlab/lab_assasin_die.wav.
Failed to open file default/agentping01.tga.dds.
Failed to open file default/agentping02.tga.dds.
Failed to open file default/agentping03.tga.dds.
Failed to open file default/agentping04.tga.dds.
Failed to open file default/agentping05.tga.dds.
Failed to open file default/agentping06.tga.dds.
Failed to open file default/assasin-mode.tga.dds.
Failed to open file default/banner_battle arena.tga.dds.
Failed to open file default/banner_castle.tga.dds.
Failed to open file default/banner_challengequest_guerilla.tga.dds.
Failed to open file default/banner_citadel.tga.dds.
Failed to open file default/banner_clan.bmp.dds.
Failed to open file default/banner_dungeon.tga.dds.
Failed to open file default/banner_factory.tga.dds.
Failed to open file default/banner_garden.tga.dds.
Failed to open file default/banner_glassbase.tga.dds.
Failed to open file default/banner_halloween town.tga.dds.
Failed to open file default/banner_high_haven.tga.dds.
Failed to open file default/banner_island.tga.dds.
Failed to open file default/banner_lost shrine.tga.dds.
Failed to open file default/banner_lost.tga.dds.
Failed to open file default/banner_mansion.tga.dds.
Failed to open file default/banner_port.tga.dds.
Failed to open file default/banner_prison ii.tga.dds.
Failed to open file default/banner_prison.tga.dds.
Failed to open file default/banner_relaymap.tga.dds.
Failed to open file default/banner_ruin.tga.dds.
Failed to open file default/banner_skyline.tga.dds.
Failed to open file default/banner_snow_town.tga.dds.
Failed to open file default/banner_stairway.tga.dds.
Failed to open file default/banner_station.tga.dds.
Failed to open file default/banner_theoffice.tga.dds.
Failed to open file default/banner_town.tga.dds.
Failed to open file default/banner_training.tga.dds.
Failed to open file default/banner_trainingv2.tga.dds.
Failed to open file default/banner_weaponshop.tga.dds.
Failed to open file default/berserk-mode.tga.dds.
Failed to open file default/bgtxtr_grd.png.dds.
Failed to open file default/black_bg.tga.dds.
Failed to open file default/blacknullframe.tga.dds.
Failed to open file default/bluenullframe.tga.dds.
Failed to open file default/book_next_off.tga.dds.
Failed to open file default/book_next_on.tga.dds.
Failed to open file default/book_prev_off.tga.dds.
Failed to open file default/book_prev_on.tga.dds.
Failed to open file default/btn_chk.png.dds.
Failed to open file default/btntxtr_gnd_off.png.dds.
Failed to open file default/btntxtr_gnd_on.png.dds.
Failed to open file default/button_glow.png.dds.
Failed to open file default/buttonframe.tga.dds.
Failed to open file default/camera_free.tga.dds.
Failed to open file default/camera_normal.tga.dds.
Failed to open file default/camera_user.tga.dds.
Failed to open file default/challenge_round.tga.dds.
Failed to open file default/challenge_roundnum.tga.dds.
Failed to open file default/challenge_timenum.tga.dds.
Failed to open file default/challengequest_guerilla-mode.tga.dds.
Failed to open file default/channel_off_kr.tga.dds.
Failed to open file default/channel_on_kr.tga.dds.
Failed to open file default/char_create_off_kr.tga.dds.
Failed to open file default/char_create_on_kr.tga.dds.
Failed to open file default/char_delete_off_kr.tga.dds.
Failed to open file default/char_delete_on_kr.tga.dds.
Failed to open file default/char_off_kr.tga.dds.
Failed to open file default/char_on_kr.tga.dds.
Failed to open file default/char_select_off_kr.tga.dds.
Failed to open file default/char_select_on_kr.tga.dds.
Failed to open file default/clanwar_off_kr.tga.dds.
Failed to open file default/clanwar_on_kr.tga.dds.
Failed to open file default/crosshair01.png.dds.
Failed to open file default/crosshair01_b.png.dds.
Failed to open file default/crosshair01_l.png.dds.
Failed to open file default/crosshair01_r.png.dds.
Failed to open file default/crosshair02.png.dds.
Failed to open file default/crosshair02_pick.png.dds.
Failed to open file default/crosshair03.png.dds.
Failed to open file default/crosshair03_pick.png.dds.
Failed to open file default/crosshair04.png.dds.
Failed to open file default/crosshair04_pick.png.dds.
Failed to open file default/crosshair05.png.dds.
Failed to open file default/crosshair05_pick.png.dds.
Failed to open file default/cursor0000.png.dds.
Failed to open file default/cursor0001.png.dds.
Failed to open file default/cursor0002.png.dds.
Failed to open file default/cursor0003.png.dds.
Failed to open file default/cursor0004.png.dds.
Failed to open file default/cursor0005.png.dds.
Failed to open file default/cursor0006.png.dds.
Failed to open file default/cursor0007.png.dds.
Failed to open file default/cursor0008.png.dds.
Failed to open file default/cursor0009.png.dds.
Failed to open file default/cursor0010.png.dds.
Failed to open file default/death-mode.tga.dds.
Failed to open file default/duel-mode.tga.dds.
Failed to open file default/duel_score.tga.dds.
Failed to open file default/dueltournament_charinfoback.tga.dds.
Failed to open file default/dueltournament_off_kr.tga.dds.
Failed to open file default/dueltournament_on_kr.tga.dds.
Failed to open file default/dueltournament_score.tga.dds.
Failed to open file default/dueltournament_score_timeback.tga.dds.
Failed to open file default/dueltournament_victorysymbol.tga.dds.
Failed to open file default/dueltournament_victorysymbol_blank.tga.dds.
Failed to open file default/equip_centralbank_off.tga.dds.
Failed to open file default/equip_centralbank_on.tga.dds.
Failed to open file default/equip_equiptab_armor_off.tga.dds.
Failed to open file default/equip_equiptab_armor_on.tga.dds.
Failed to open file default/equip_equiptab_weapon_off.tga.dds.
Failed to open file default/equip_equiptab_weapon_on.tga.dds.
Failed to open file default/equip_myequip_off.tga.dds.
Failed to open file default/equip_myequip_on.tga.dds.
Failed to open file default/equip_off_kr.tga.dds.
Failed to open file default/equip_on_kr.tga.dds.
Failed to open file default/equiptab_armor_off.tga.dds.
Failed to open file default/equiptab_armor_on.tga.dds.
Failed to open file default/equiptab_armor_over.tga.dds.
Failed to open file default/equiptab_weapon_off.tga.dds.
Failed to open file default/equiptab_weapon_on.tga.dds.
Failed to open file default/equiptab_weapon_over.tga.dds.
Failed to open file default/exit_off_kr.tga.dds.
Failed to open file default/exit_on_kr.tga.dds.
Failed to open file default/fade.tga.dds.
Failed to open file default/flame0001.tga.dds.
Failed to open file default/flame0002.tga.dds.
Failed to open file default/flame0003.tga.dds.
Failed to open file default/flame0004.tga.dds.
Failed to open file default/flame0005.tga.dds.
Failed to open file default/flame0006.tga.dds.
Failed to open file default/flame0007.tga.dds.
Failed to open file default/flame0008.tga.dds.
Failed to open file default/flame0009.tga.dds.
Failed to open file default/flame0010.tga.dds.
Failed to open file default/flame0011.tga.dds.
Failed to open file default/flame0012.tga.dds.
Failed to open file default/flame0013.tga.dds.
Failed to open file default/flame0014.tga.dds.
Failed to open file default/forced_entry_off.tga.dds.
Failed to open file default/forced_entry_on.tga.dds.
Failed to open file default/frame_b.png.dds.
Failed to open file default/frame_t.png.dds.
Failed to open file default/framepanel.tga.dds.
Failed to open file default/framepaneltab0.tga.dds.
Failed to open file default/framepaneltab1.tga.dds.
Failed to open file default/framepaneltab2.tga.dds.
Failed to open file default/framepaneltab3.tga.dds.
Failed to open file default/game_create_off.tga.dds.
Failed to open file default/game_create_on.tga.dds.
Failed to open file default/game_join_off.tga.dds.
Failed to open file default/game_join_on.tga.dds.
Failed to open file default/gametype_challengequest.tga.dds.
Failed to open file default/gametype_quest.tga.dds.
Failed to open file default/gametype_solo.tga.dds.
Failed to open file default/gametype_team.tga.dds.
Failed to open file default/gladiator-mode.tga.dds.
Failed to open file default/graynullframe.tga.dds.
Failed to open file default/grp_num.tga.dds.
Failed to open file default/gunz_logo_hq.png.dds.
Failed to open file default/icon_play.tga.dds.
Failed to open file default/in_key.png.dds.
Failed to open file default/infinity.tga.dds.
Failed to open file default/interface.tga.dds.
Failed to open file default/keyboard_blue.tga.dds.
Failed to open file default/keyboard_green.tga.dds.
Failed to open file default/killstone.tga.dds.
Failed to open file default/level_marker.png.dds.
Failed to open file default/lights.tga.dds.
Failed to open file default/listframeclose.tga.dds.
Failed to open file default/listframeclosebtn_off.tga.dds.
Failed to open file default/listframeclosebtn_on.tga.dds.
Failed to open file default/listframeopen.tga.dds.
Failed to open file default/listframeopenbtn_off.tga.dds.
Failed to open file default/listframeopenbtn_on.tga.dds.
Failed to open file default/listlabel.tga.dds.
Failed to open file default/loading/loading.bmp.dds.
Failed to open file default/logout_off_kr.tga.dds.
Failed to open file default/logout_on_kr.tga.dds.
Failed to open file default/macro_off.tga.dds.
Failed to open file default/macro_on.tga.dds.
Failed to open file default/main_bg_b.png.dds.
Failed to open file default/main_bg_t.png.dds.
Failed to open file default/mark_arrow.bmp.dds.
Failed to open file default/mark_x.bmp.dds.
Failed to open file default/matchschedule.tga.dds.
Failed to open file default/matchschedule_box.tga.dds.
Failed to open file default/matchschedule_line.tga.dds.
Failed to open file default/matchschedule_line2.tga.dds.
Failed to open file default/matchschedule_resultmark.tga.dds.
Failed to open file default/misc_blue.tga.dds.
Failed to open file default/misc_green.tga.dds.
Failed to open file default/monsterbook_off.tga.dds.
Failed to open file default/monsterbook_on.tga.dds.
Failed to open file default/mouse_blue.tga.dds.
Failed to open file default/mouse_green.tga.dds.
Failed to open file default/new_clan_off.tga.dds.
Failed to open file default/new_clan_on.tga.dds.
Failed to open file default/no_emblem.png.dds.
Failed to open file default/option_off_kr.tga.dds.
Failed to open file default/option_on_kr.tga.dds.
Failed to open file default/pagedown_off.tga.dds.
Failed to open file default/pagedown_on.tga.dds.
Failed to open file default/pageup_off.tga.dds.
Failed to open file default/pageup_on.tga.dds.
Failed to open file default/playnow_off_kr.tga.dds.
Failed to open file default/playnow_on_kr.tga.dds.
Failed to open file default/pltab_clan_off.tga.dds.
Failed to open file default/pltab_clan_on.tga.dds.
Failed to open file default/pltab_friends_off.tga.dds.
Failed to open file default/pltab_friends_on.tga.dds.
Failed to open file default/pltab_game_off.tga.dds.
Failed to open file default/pltab_game_on.tga.dds.
Failed to open file default/pltab_lobby_off.tga.dds.
Failed to open file default/pltab_lobby_on.tga.dds.
Failed to open file default/quest-mode.tga.dds.
Failed to open file default/quit_off.tga.dds.
Failed to open file default/quit_on.tga.dds.
Failed to open file default/ready_game_down.tga.dds.
Failed to open file default/ready_game_off.tga.dds.
Failed to open file default/ready_game_on.tga.dds.
Failed to open file default/rednullframe.tga.dds.
Failed to open file default/replay_off_kr.tga.dds.
Failed to open file default/replay_on_kr.tga.dds.
Failed to open file default/result_draw.tga.dds.
Failed to open file default/result_finish.tga.dds.
Failed to open file default/result_lose.tga.dds.
Failed to open file default/result_win.tga.dds.
Failed to open file default/selectbar.tga.dds.
Failed to open file default/senariotitlebar.tga.dds.
Failed to open file default/shop_buy_off.tga.dds.
Failed to open file default/shop_buy_on.tga.dds.
Failed to open file default/shop_buycash_off.tga.dds.
Failed to open file default/shop_buycash_on.tga.dds.
Failed to open file default/shop_off_kr.tga.dds.
Failed to open file default/shop_on_kr.tga.dds.
Failed to open file default/shop_sell_off.tga.dds.
Failed to open file default/shop_sell_on.tga.dds.
Failed to open file default/slot_empty.tga.dds.
Failed to open file default/slot_icon_air_trap.tga.dds.
Failed to open file default/slot_icon_ap_ampulla.tga.dds.
Failed to open file default/slot_icon_ap_capsule.tga.dds.
Failed to open file default/slot_icon_avatar.tga.dds.
Failed to open file default/slot_icon_blade.tga.dds.
Failed to open file default/slot_icon_book.tga.dds.
Failed to open file default/slot_icon_candy.tga.dds.
Failed to open file default/slot_icon_chest.tga.dds.
Failed to open file default/slot_icon_d_dagger.tga.dds.
Failed to open file default/slot_icon_d_pistol.tga.dds.
Failed to open file default/slot_icon_d_smg.tga.dds.
Failed to open file default/slot_icon_dagger.tga.dds.
Failed to open file default/slot_icon_doll.tga.dds.
Failed to open file default/slot_icon_dynamite.tga.dds.
Failed to open file default/slot_icon_en_cold.tga.dds.
Failed to open file default/slot_icon_en_fire.tga.dds.
Failed to open file default/slot_icon_en_lightning.tga.dds.
Failed to open file default/slot_icon_en_poison.tga.dds.
Failed to open file default/slot_icon_exgrenade.tga.dds.
Failed to open file default/slot_icon_feet.tga.dds.
Failed to open file default/slot_icon_finger.tga.dds.
Failed to open file default/slot_icon_flashbang.tga.dds.
Failed to open file default/slot_icon_food.tga.dds.
Failed to open file default/slot_icon_fresh.tga.dds.
Failed to open file default/slot_icon_gamble1.tga.dds.
Failed to open file default/slot_icon_gamble_cash.tga.dds.
Failed to open file default/slot_icon_gamble_challengequest.tga.dds.
Failed to open file default/slot_icon_grenade.tga.dds.
Failed to open file default/slot_icon_hands.tga.dds.
Failed to open file default/slot_icon_haste_ampulla.tga.dds.
Failed to open file default/slot_icon_head.tga.dds.
Failed to open file default/slot_icon_hp_ampulla.tga.dds.
Failed to open file default/slot_icon_hp_capsule.tga.dds.
Failed to open file default/slot_icon_katana.tga.dds.
Failed to open file default/slot_icon_legs.tga.dds.
Failed to open file default/slot_icon_machinegun.tga.dds.
Failed to open file default/slot_icon_magazine.tga.dds.
Failed to open file default/slot_icon_medikit.tga.dds.
Failed to open file default/slot_icon_neck.tga.dds.
Failed to open file default/slot_icon_normal_trap.tga.dds.
Failed to open file default/slot_icon_object.tga.dds.
Failed to open file default/slot_icon_page.tga.dds.
Failed to open file default/slot_icon_pistol.tga.dds.
Failed to open file default/slot_icon_potion.tga.dds.
Failed to open file default/slot_icon_qsword.tga.dds.
Failed to open file default/slot_icon_repairkit.tga.dds.
Failed to open file default/slot_icon_rifle.tga.dds.
Failed to open file default/slot_icon_ring.tga.dds.
Failed to open file default/slot_icon_ringg.tga.dds.
Failed to open file default/slot_icon_ringm.tga.dds.
Failed to open file default/slot_icon_rings.tga.dds.
Failed to open file default/slot_icon_rocket.tga.dds.
Failed to open file default/slot_icon_samgak.tga.dds.
Failed to open file default/slot_icon_shotgun.tga.dds.
Failed to open file default/slot_icon_skull.tga.dds.
Failed to open file default/slot_icon_smg.tga.dds.
Failed to open file default/slot_icon_sword.tga.dds.
Failed to open file default/slot_icon_ticket.tga.dds.
Failed to open file default/slot_icon_trap_cold.tga.dds.
Failed to open file default/slot_icon_trap_fire.tga.dds.
Failed to open file default/slot_icon_unknown.tga.dds.
Failed to open file default/slot_icon_zone_trap.tga.dds.
Failed to open file default/speaker_blue.tga.dds.
Failed to open file default/speaker_green.tga.dds.
Failed to open file default/stage_bg.tga.dds.
Failed to open file default/stage_labelbg.tga.dds.
Failed to open file default/start_game_off.tga.dds.
Failed to open file default/start_game_on.tga.dds.
Failed to open file default/stripe.tga.dds.
Failed to open file default/survival-mode.tga.dds.
Failed to open file default/team_score.tga.dds.
Failed to open file default/team_score_blue.tga.dds.
Failed to open file default/team_score_red.tga.dds.
Failed to open file default/team_scorebg.tga.dds.
Failed to open file default/teamdeath-mode.tga.dds.
Failed to open file default/teamgladiator-mode.tga.dds.
Failed to open file default/title_bar.tga.dds.
Failed to open file default/tooltip_edge01.png.dds.
Failed to open file default/tooltip_edge02.png.dds.
Failed to open file default/train_mode.tga.dds.
Failed to open file default/unlimitdeath-mode.tga.dds.
Failed to open file default/video_blue.tga.dds.
Failed to open file default/video_green.tga.dds.
Failed to open file default/vs.tga.dds.
Failed to open file default/windowframe.tga.dds.
Failed to open file loadable/arrow_bar.tga.dds.
Failed to open file loadable/arrow_down.tga.dds.
Failed to open file loadable/arrow_up.tga.dds.
Failed to open file loadable/bottom_panel.png.dds.
Failed to open file loadable/claninfo_panel.tga.dds.
Failed to open file loadable/dueltournament_lobby_panel.png.dds.
Failed to open file loadable/dueltournamentinfo_panel.tga.dds.
Failed to open file loadable/dueltournamentrankingitembg.png.dds.
Failed to open file loadable/dueltournamentrankinglabel.png.dds.
Failed to open file loadable/gamelist_panel.png.dds.
Failed to open file loadable/itemlistframe.tga.dds.
Failed to open file loadable/loginpanel.tga.dds.
Failed to open file loadable/map_battle arena.bmp.dds.
Failed to open file loadable/map_castle.bmp.dds.
Failed to open file loadable/map_challengequest_guerilla.bmp.dds.
Failed to open file loadable/map_citadel.bmp.dds.
Failed to open file loadable/map_dungeon.bmp.dds.
Failed to open file loadable/map_factory.bmp.dds.
Failed to open file loadable/map_garden.bmp.dds.
Failed to open file loadable/map_glassbase.bmp.dds.
Failed to open file loadable/map_halloween town.bmp.dds.
Failed to open file loadable/map_high_haven.bmp.dds.
Failed to open file loadable/map_island.bmp.dds.
Failed to open file loadable/map_lost shrine.bmp.dds.
Failed to open file loadable/map_lost.bmp.dds.
Failed to open file loadable/map_mansion.bmp.dds.
Failed to open file loadable/map_port.bmp.dds.
Failed to open file loadable/map_prison ii.bmp.dds.
Failed to open file loadable/map_prison.bmp.dds.
Failed to open file loadable/map_ruin.bmp.dds.
Failed to open file loadable/map_skyline.bmp.dds.
Failed to open file loadable/map_snow_town.bmp.dds.
Failed to open file loadable/map_stairway.bmp.dds.
Failed to open file loadable/map_station.bmp.dds.
Failed to open file loadable/map_theoffice.bmp.dds.
Failed to open file loadable/map_town.bmp.dds.
Failed to open file loadable/map_weaponshop.bmp.dds.
Failed to open file loadable/relaymaplistframe.tga.dds.
Failed to open file loadable/stage_frame.png.dds.
Failed to open file interface/default/stagejoinframe.xml.
Failed to open file interface/default/stagelistframe.xml.
Failed to open file interface/default/mapframe.xml.
Failed to open file interface/default/chardetail_info.xml.
Failed to open file interface/default/charinfo.xml.
Failed to open file interface/default/combat/ctf_txt.dds.dds.
Failed to open file interface/default/combat/ctf_bflag.dds.dds.
Failed to open file interface/default/combat/ctf_rflag.dds.dds.
Failed to open file interface/default/combat/ctf_scorefx.dds.dds.
Failed to open file sfx/gz_sfx_mf01.bmp.dds.
Failed to open file sfx/gz_sfx_mf01.bmp.
Failed to open file sfx/gz_sfx_mf11.bmp.dds.
Failed to open file sfx/gz_sfx_mf11.bmp.
Failed to open file sfx/gz_sfx_mf02.bmp.dds.
Failed to open file sfx/gz_sfx_mf02.bmp.
Failed to open file sfx/gz_sfx_mf12.bmp.dds.
Failed to open file sfx/gz_sfx_mf12.bmp.
Failed to open file sfx/gz_sfx_mf03.bmp.dds.
Failed to open file sfx/gz_sfx_mf03.bmp.
Failed to open file sfx/gz_sfx_mf13.bmp.dds.
Failed to open file sfx/gz_sfx_mf13.bmp.
Failed to open file sfx/gz_sfx_mf04.bmp.dds.
Failed to open file sfx/gz_sfx_mf04.bmp.
Failed to open file sfx/gz_sfx_mf14.bmp.dds.
Failed to open file sfx/gz_sfx_mf14.bmp.
Failed to open file sfx/gz_sfx_mf41.bmp.dds.
Failed to open file sfx/gz_sfx_mf41.bmp.
Failed to open file sfx/gz_sfx_mf42.bmp.dds.
Failed to open file sfx/gz_sfx_mf42.bmp.
Failed to open file sfx/gz_sfx_mf43.bmp.dds.
Failed to open file sfx/gz_sfx_mf43.bmp.
Failed to open file sfx/gz_sfx_mf44.bmp.dds.
Failed to open file sfx/gz_sfx_mf44.bmp.
Failed to open file sfx/gz_sfx_mf21.bmp.dds.
Failed to open file sfx/gz_sfx_mf21.bmp.
Failed to open file sfx/gz_sfx_mf31.bmp.dds.
Failed to open file sfx/gz_sfx_mf31.bmp.
Failed to open file sfx/gz_sfx_mf22.bmp.dds.
Failed to open file sfx/gz_sfx_mf22.bmp.
Failed to open file sfx/gz_sfx_mf32.bmp.dds.
Failed to open file sfx/gz_sfx_mf32.bmp.
Failed to open file sfx/gz_sfx_mf23.bmp.dds.
Failed to open file sfx/gz_sfx_mf23.bmp.
Failed to open file sfx/gz_sfx_mf33.bmp.dds.
Failed to open file sfx/gz_sfx_mf33.bmp.
Failed to open file sfx/gz_g_psychic.tga.dds.
Failed to open file sfx/gz_g_psychic.tga.
Failed to open file gz_g_psychic.tga.dds.
Failed to open file gz_g_psychic.tga.
Failed to open file sfx/gz_effect_dash01.tga.dds.
Failed to open file sfx/gz_effect_dash01.tga.
Failed to open file sfx/gz_effect_dash02.tga.dds.
Failed to open file sfx/gz_effect_dash02.tga.
